index,full_text,sentiment
0,setelah sampai di pemberhentian yang pertama aku memberikan uang sebesar  untuk cibaduyutleuwipanjang ini tentu atas dasar kekepoanku pada temenku seputar angkot,Neutral
1,blueskycean tanyarlfes di tempatku ada angkot yang madep depan alesannya karena jalurnya berliku parah takutnya penumpang pada mabuk perjalanan kalo madep samping kebetulan ini perbatasan kabupaten pilihannya cuma angkot ini atau nunggu bus antar kota yang ongkosnya lebih mahal,Neutral
2,transportasi yg pertama kunaiki yaitu angkot dan untuk menuju angkot pertama aku harus berjalan kurang lebih  meter di dalam angkot hanya terdapat  orang penumpang seperti kebanyakan angkot di indonesia jabar khususnya si sopir menunggu angkutan penuh dengan penumpang,Neutral
3,diethingy gapapa kok bolong  hri mks  hriminggu cb ganti ganti wo atau jedag jedug angkot bodyfit bt bagus gk kerasa udh  menit aja haha,Neutral
4,abcdefvcking angkot bogor mah aduhh sat set bikin kagok sehat boo ,Negative
5,blueskycean tanyarlfes karna dimensi mobil kecil makanya dibuat duduk nyamping biar masukkeluarnya gampang beda sama bis yg dimensinya lebih besar makanya duduknya ngadep depan tp sekelas bis pun kalo mau masuk keluar juga susah kan yaa apalagi angkot yg lebih kecil dimensinya,Neutral
6,amirwawan tanyarlfes paling favorit kalau naik angkot tuh di kursi ultah enak gak sumpek ,Neutral
7,tanyarlfes kata gue si itu jdiin pengalaman terakhir lo naik angkot nder,Neutral
8, juta dapetnya sasis angkot skip dulu dah,Neutral
9,chortliez nanti kita naik angkot aja ke sananya,Neutral
10,ketawa sendiri inget masa lalu jamanan chargeran kodok dan kursi ulang tahun di angkot,Neutral
11,windofriize wkwk tapi dj angkot gitu seru sebenernya walau kadang remix nya gak nyambung ,Neutral
12,convomfs naik angkot lagi setelah  tahun ngga,Neutral
13,amirwawan tanyarlfes adikku pertama kali naik angkot duduk di kursi ini sampe bilang naik angkot ribet ya  padahal dia lagi bad luck aja dapat kursi itu,Neutral
14,enak bgt bang dj rimeks angkot nya,Neutral
15,kimiyunie  kyk angkot di bogor,Negative
16,sekalian sama tunjangannya naik  ya pak capek bnget loh jadi pns ini gaji kecil tunjangan kecil kerja naik ojekangkot kadang numpang naik mobil tetangga yg kerjanya kuli bangunan,Neutral
17,angkot balikpapan sistem duduknya gak hadapan,Negative
18,kalau aku jadi sender langsung turun dari angkot siiiih maloe banget,Neutral
19,diian angkot engga masuk bandara kellesv,Negative
20,lagu angkot pride,Neutral
21,amirwawan tanyarlfes tempat duduk paling ngerepotin anjgg kl org mau turun kita jg hrs turun krn persis ngalangin pintu angkot nya ,Neutral
22, btw gue nganterin beliau bener sampe gerbong kita juga duduk sebelahan dan satu jalur juga dia mau ke bogor beliau juga cerita keluarganya di kampung pkoknya banyak selama dia cerita gue mikirin duit gue yang cuman sisa k apakah ckup untuk ongkos angkot  ,Negative
23,buka sendal sebelum masuk angkot terus cium tangan semua penumpangnya,Neutral
24,saturnrooses jink setoran setoran berasa angkot,Negative
25,amirwawan tanyarlfes hahahhaa gw sering naek angkot baru tau ini hahahahahaha,Neutral
26,tapi jaman sma waktu lagi hujan deras dan udah tayang berita kalo ada banjir di jalan yg aku lewatin aku yg biasanya pulangpergi naik angkot jadinya dianter bapak demi ngindar dari banjir,Neutral
27,gfksj yg lucu aja deh maluin sebenarnya  pas masih sma aku kan belum pke hijab kemana  selalu pke topi dibalik pkenya nahh naik angkot duduk di pojok penumpang nya gak terlalu rame pas dipinta bayaran keneknya manggil mas bayar langsung semua nengok ke aku krn tau aku cwe ,Neutral
28,tadi perasaan di angkot pulang udh gerimis kok ilang dah ya allah jgn teaser aja please,Neutral
29,seorang anak supir angkot hanya cuma bisa bermimpi miliki pendidikan tinggi tidak mungkin bisa kerja kantoran hey teman anak kecil yg dulunya dihina itu hari ini allah angkat derajatnya miliki status ceo dari  perusahaan yang dikelolanya di usia  tahun,Neutral
30,abcdefvcking omeygat sorry ini kmu tuh duduk d pintu nya apa gmna boo trus angkot nya tanggung jawab ngga boo ,Neutral
31,begitu sampe di sekolah uang saku yg biasanya k jadi k karena tarif angkot buat pulang nanti semisal banjir pasti akan ditembak berkalikali berangkatpulang sekolah dgn situasi itu keluargaku jauh dari mampu di jaman itu jelas momen itu bikin gak enak hati,Neutral
32,tanyarlfes gue dah lama bgt ga naek angkot buset,Neutral
33,koen durung lahir angkot wes lungguh depdepan cok,Neutral
34,tanyarlfes klo jodoh ceritanya cintaku berawal dari angkot yg berhadaphadapan,Negative
